0 0 
36724575.0732422 36724658.4777832 36724588.4090714
36788534.8510742 36788618.4082031 36788548.2174591
36852502.7770996 36852586.517334 36852516.2045422
36916477.7832031 36916561.6760254 36916491.2411724
36980451.0803223 36980535.0952148 36980464.5383039
37044414.9169922 37044499.1149902 37044428.4360393
37108380.9814453 37108465.3625488 37108394.5615537
37172336.4257813 37172420.9289551 37172350.0059361
37236297.5769043 37236382.2631836 37236311.2181298
37300256.0424805 37300340.8813477 37300269.7142642
37364204.3762207 37364289.3676758 37364218.078582
37428150.0244141 37428235.168457 37428163.757358
37492088.684082 37492174.0112305 37492102.4781395
37556046.5698242 37556132.0495605 37556060.394441
37620004.5166016 37620090.1489258 37620018.3717776
37683964.3249512 37684050.1098633 37683978.2106828
37747912.3535156 37747998.3215332 37747926.3003429
